Rank,Standard Score,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White
1,94.1,Kilmer Center,https://www.sd.com/go/VA/schools/0126000512/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,8102 Wolftrap Rd,Vienna,https://www.sd.com/go/VA/city/Vienna/search.aspx,22182,Fairfax County,(571) 226-8440,PK,12,No,No,No,No,69,14.9,4.6,0.35,0.1,0,0.2,0.25,0,0.07,0.38
2,89.1,Thomas Jefferson High,https://www.sd.com/go/VA/schools/0126002034/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,6560 Braddock Rd,Alexandria,https://www.sd.com/go/VA/city/Alexandria/search.aspx,22312,Fairfax County,(703) 750-8300,9,12,No,No,Yes,No,1781,101.7,17.5,0.02,0.02,0,0.7,0.02,0,0.05,0.21
3,84.1,Open High,https://www.sd.com/go/VA/schools/0324001373/school.aspx,Richmond City Public Schools,https://www.sd.com/go/VA/district/03240/search.aspx,600 S Pine St,Richmond,https://www.sd.com/go/VA/city/Richmond/search.aspx,23220,Richmond city,(804) 780-4661,9,12,No,No,No,No,200,14.8,13.5,0.99,0.35,0.01,0.03,0.1,0,0.04,0.5
4,83.4,Richmond Community High,https://www.sd.com/go/VA/schools/0324002075/school.aspx,Richmond City Public Schools,https://www.sd.com/go/VA/district/03240/search.aspx,201 E Brookland Park Boulevard,Richmond,https://www.sd.com/go/VA/city/Richmond/search.aspx,23222,Richmond city,(804) 285-1015,9,12,No,No,No,No,240,19.5,12.2,0.99,0.7,0,0.01,0.06,0,0.03,0.2
5,83.3,Grassfield High,https://www.sd.com/go/VA/schools/0081002765/school.aspx,Chesapeake City Public Schools,https://www.sd.com/go/VA/district/00810/search.aspx,2007 Grizzly Trail,Chesapeake,https://www.sd.com/go/VA/city/Chesapeake/search.aspx,23323,Chesapeake city,(757) 558-4749,9,12,No,No,Yes,No,2303,132.4,17.3,0.12,0.15,0.01,0.04,0.1,0,0.08,0.63
6,81.9,Deep Run High,https://www.sd.com/go/VA/schools/0189002278/school.aspx,Henrico County Public Schools,https://www.sd.com/go/VA/district/01890/search.aspx,4801 Twin Hickory Rd.,Glen Allen,https://www.sd.com/go/VA/city/Glen+Allen/search.aspx,23059,Henrico County,(804) 364-8000,9,12,No,No,Yes,No,1784,93.9,18.9,0.07,0.06,0,0.17,0.05,0,0.05,0.67
7,81.4,Hickory High,https://www.sd.com/go/VA/schools/0081001482/school.aspx,Chesapeake City Public Schools,https://www.sd.com/go/VA/district/00810/search.aspx,1996 Hawk Blvd,Chesapeake,https://www.sd.com/go/VA/city/Chesapeake/search.aspx,23322,Chesapeake city,(757) 421-4295,9,12,No,No,No,No,1735,105.5,16.4,0.09,0.07,0,0.02,0.08,0,0.06,0.78
8,79.2,Cosby High,https://www.sd.com/go/VA/schools/0084002661/school.aspx,Chesterfield County Public Schools,https://www.sd.com/go/VA/district/00840/search.aspx,14300 Fox Club Parkway,Midlothian,https://www.sd.com/go/VA/city/Midlothian/search.aspx,23112,Chesterfield County,(804) 639-8340,9,12,No,No,No,No,2234,121.6,18.3,0.09,0.13,0,0.05,0.06,0,0.04,0.72
9,79.1,Langley High,https://www.sd.com/go/VA/schools/0126000517/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,6520 Georgetown Pike,Mclean,https://www.sd.com/go/VA/city/Mclean/search.aspx,22101,Fairfax County,(703) 287-2700,9,12,No,No,No,No,1943,114.9,16.9,0.02,0.02,0,0.25,0.05,0,0.06,0.63
10,78.5,West Springfield High,https://www.sd.com/go/VA/schools/0126000585/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,6100 Rolling Rd,Springfield,https://www.sd.com/go/VA/city/Springfield/search.aspx,22152,Fairfax County,(703) 913-3800,9,12,No,No,No,No,2310,140.9,16.3,0.13,0.11,0,0.14,0.18,0,0.06,0.51
